state,year,family,skill,specialeligibility,newzealand,australian,other,total
Australia,2005,28430,35540,13580,37330,69260,3650,187790
Australia,2006,30400,42750,12320,38760,72610,3640,200480
Australia,2007,32480,47540,12400,44420,75300,3770,215910
Australia,2008,33100,51600,9470,51680,75830,3940,225620
Australia,2009,35060,48360,11630,46890,80440,4000,226380
Australia,2010,35580,41140,9920,38630,78870,3990,208130
Australia,2011,33730,33060,9180,53610,78870,4320,212770
Australia,2012,34770,40980,7700,61070,76070,4250,224840
Australia,2013,35230,38020,8540,54120,77100,4960,217970
Australia,2014,35510,40330,13170,37770,72180,5340,204300
Australia,2015,32050,42240,11690,31750,71680,5510,194920
Australia,2016,31590,41850,11080,33700,75800,6070,200090
Australia,2017,29680,46140,24120,32330,79280,6270,217820
Australia,2018,26280,43320,12190,30380,77160,6130,195460
Australia,2019,24290,38230,15340,30540,78900,7530,194830
Australia,2020,20300,27280,13000,22220,96410,10320,189530
Australia,2021,15650,14620,590,16950,61370,6090,115270
Australia,2022,24790,27240,7340,23230,61160,8520,152280
New South Wales,2005,12370,11690,4420,11140,23860,1350,64830
New South Wales,2006,13250,12410,4410,10870,25190,1360,67490
New South Wales,2007,13530,12890,4200,11200,26070,1370,69260
New South Wales,2008,13810,13530,2950,11370,26170,1470,69300
New South Wales,2009,14230,12730,4080,10090,27840,1460,70430
New South Wales,2010,13950,10040,3200,9490,28130,1470,66280
New South Wales,2011,13090,9040,2840,12400,28420,1550,67340
New South Wales,2012,13120,9440,2030,11680,27090,1600,64960
New South Wales,2013,13280,8990,2790,11310,27520,1800,65690
New South Wales,2014,13160,11040,4480,8930,25750,2070,65430
New South Wales,2015,11770,12290,4770,7740,25690,2020,64280
New South Wales,2016,11580,13230,3340,9230,26460,2190,66030
New South Wales,2017,11070,16190,10720,8730,27580,2270,76560
New South Wales,2018,9720,15380,4390,7300,26370,2190,65350
New South Wales,2019,8830,13000,6250,7130,27080,2670,64960
New South Wales,2020,7330,9290,5290,5110,33840,3760,64620
New South Wales,2021,7580,7250,170,7460,31060,3040,56560
New South Wales,2022,9270,8770,2990,5440,23660,3260,53390
Victoria,2005,7850,9330,3940,7020,16410,880,45430
Victoria,2006,8190,11080,3440,7250,17210,830,48000
Victoria,2007,8990,12620,3380,8300,17230,930,51450
Victoria,2008,9180,14290,2740,9090,17590,960,53850
Victoria,2009,9770,13660,3040,8620,18860,990,54940
Victoria,2010,10050,11580,2650,7950,18660,1020,51910
Victoria,2011,9790,9710,2440,11490,18760,1140,53330
Victoria,2012,10040,10810,2180,12870,19170,1120,56190
Victoria,2013,9930,10650,2960,12410,19130,1360,56440
Victoria,2014,10470,11430,3540,9360,18070,1500,54370
Victoria,2015,9600,12890,3600,8340,18060,1570,54060
Victoria,2016,9680,13420,3210,9360,18990,1850,56510
Victoria,2017,9290,15230,7220,9010,20110,1900,62760
Victoria,2018,8420,14410,3650,8710,19990,1790,56970
Victoria,2019,7960,12660,4110,8780,19840,2300,55650
Victoria,2020,6620,8420,3650,6270,23150,3100,51210
Victoria,2021,3920,3630,150,3310,10360,1300,22670
Victoria,2022,7650,9090,2570,6600,15690,2790,44390
Queensland,2005,3560,5150,1580,14160,14010,610,39070
Queensland,2006,3900,6100,1450,15130,14380,630,41590
Queensland,2007,4340,7030,1460,18380,16160,590,47960
Queensland,2008,4310,7970,1030,21860,15570,630,51370
Queensland,2009,4740,7250,1160,19070,16030,660,48910
Queensland,2010,4840,5180,1300,14120,15830,680,41950
Queensland,2011,4250,4420,1360,19130,15240,670,45070
Queensland,2012,4720,5060,1270,20850,14160,590,46650
Queensland,2013,4610,4080,1090,17490,14670,760,42700
Queensland,2014,4670,4030,2060,12150,13500,730,37140
Queensland,2015,4180,4490,1380,9960,13570,840,34420
Queensland,2016,4070,4380,1950,10340,14900,920,36560
Queensland,2017,3730,4860,2730,10120,15300,940,37680
Queensland,2018,3200,4480,1880,10040,14900,900,35400
Queensland,2019,3040,4170,2500,10210,15530,1080,36530
Queensland,2020,2470,3240,1920,7400,19250,1250,35530
Queensland,2021,1740,1550,130,4140,9470,680,17710
Queensland,2022,3320,3120,680,7410,10600,1070,26200
South Australia,2005,1230,2550,1220,740,3530,140,9410
South Australia,2006,1360,4530,1100,730,3770,130,11620
South Australia,2007,1590,5220,1220,780,3930,170,12910
South Australia,2008,1560,5320,840,960,3970,150,12800
South Australia,2009,1660,4710,1050,960,4370,170,12920
South Australia,2010,1840,6040,990,760,3860,140,13630
South Australia,2011,1690,3230,1150,980,3580,160,10790
South Australia,2012,1840,4930,960,1180,3400,170,12480
South Australia,2013,1980,4120,720,880,3380,210,11290
South Australia,2014,2090,3760,1230,610,3420,190,11300
South Australia,2015,1960,4240,790,520,3270,200,10980
South Australia,2016,1800,3820,1080,540,3370,220,10830
South Australia,2017,1650,3800,1440,540,3610,230,11270
South Australia,2018,1550,4110,860,550,3620,200,10890
South Australia,2019,1390,4090,1000,550,3760,280,11070
South Australia,2020,1230,3340,960,410,4690,400,11030
South Australia,2021,770,780,90,270,2420,210,4540
South Australia,2022,1340,2690,530,430,2550,320,7860
Western Australia,2005,2710,6190,1780,3480,7980,590,22730
Western Australia,2006,2890,7860,1380,4090,8630,600,25450
Western Australia,2007,3150,8960,1680,5040,8260,600,27690
Western Australia,2008,3330,9450,1440,7530,8660,640,31050
Western Australia,2009,3560,8750,1710,7230,9040,610,30900
Western Australia,2010,3800,7080,1170,5410,8400,580,26440
Western Australia,2011,3940,5880,810,8500,9360,680,29170
Western Australia,2012,3870,9210,750,13060,8250,670,35810
Western Australia,2013,4270,9080,520,10600,8580,710,33760
Western Australia,2014,3950,8600,820,5830,7680,710,27590
Western Australia,2015,3510,6540,730,4330,7410,750,23270
Western Australia,2016,3560,5540,880,3390,8120,740,22230
Western Australia,2017,3020,4540,990,2920,8770,760,21000
Western Australia,2018,2580,3390,660,2990,8340,890,18850
Western Australia,2019,2360,2560,650,3230,8740,1030,18570
Western Australia,2020,2060,1800,540,2530,10860,1600,19390
Western Australia,2021,1230,950,40,1420,5570,690,9900
Western Australia,2022,2370,1920,330,2860,5790,860,14130
Tasmania,2005,180,190,300,170,970,20,1830
Tasmania,2006,220,230,200,190,1010,20,1870
Tasmania,2007,200,260,240,190,940,40,1870
Tasmania,2008,240,270,230,240,1010,30,2020
Tasmania,2009,290,310,300,260,1100,40,2300
Tasmania,2010,280,270,390,250,1030,40,2260
Tasmania,2011,190,150,370,250,950,40,1950
Tasmania,2012,240,190,370,250,850,30,1930
Tasmania,2013,240,160,380,230,850,30,1890
Tasmania,2014,220,110,800,160,930,30,2250
Tasmania,2015,220,120,290,170,850,40,1690
Tasmania,2016,200,130,370,170,810,30,1710
Tasmania,2017,200,210,640,170,870,30,2120
Tasmania,2018,140,340,520,150,880,50,2080
Tasmania,2019,160,580,530,140,930,40,2380
Tasmania,2020,130,450,420,140,1210,60,2410
Tasmania,2021,80,160,0,70,480,20,810
Tasmania,2022,170,670,70,160,600,40,1710
Northern Territory,2005,190,110,120,350,710,20,1500
Northern Territory,2006,190,130,150,240,520,10,1240
Northern Territory,2007,250,190,140,240,780,20,1620
Northern Territory,2008,260,190,90,290,750,20,1600
Northern Territory,2009,300,240,100,340,970,30,1980
Northern Territory,2010,350,280,100,300,690,20,1740
Northern Territory,2011,290,210,80,420,640,30,1670
Northern Territory,2012,360,350,70,640,750,20,2190
Northern Territory,2013,410,270,30,680,770,30,2190
Northern Territory,2014,420,420,90,420,780,30,2160
Northern Territory,2015,300,560,20,400,680,30,1990
Northern Territory,2016,270,620,70,370,700,40,2070
Northern Territory,2017,280,600,100,500,660,50,2190
Northern Territory,2018,210,560,40,320,620,30,1780
Northern Territory,2019,180,590,90,270,600,30,1760
Northern Territory,2020,130,340,60,180,620,30,1360
Northern Territory,2021,80,90,10,130,330,30,670
Northern Territory,2022,230,480,70,160,590,80,1610
Australian Capital Territory,2005,350,340,220,270,1790,50,3020
Australian Capital Territory,2006,400,410,190,240,1900,60,3200
Australian Capital Territory,2007,440,380,90,300,1930,50,3190
Australian Capital Territory,2008,410,570,170,340,2120,40,3650
Australian Capital Territory,2009,510,710,190,310,2220,40,3980
Australian Capital Territory,2010,490,670,120,350,2280,40,3950
Australian Capital Territory,2011,500,420,130,460,1930,60,3500
Australian Capital Territory,2012,580,1000,70,550,2400,60,4660
Australian Capital Territory,2013,540,680,50,520,2210,70,4070
Australian Capital Territory,2014,550,950,150,320,2050,80,4100
Australian Capital Territory,2015,520,1110,120,290,2140,70,4250
Australian Capital Territory,2016,440,720,190,300,2450,80,4180
Australian Capital Territory,2017,450,700,290,340,2380,80,4240
Australian Capital Territory,2018,460,670,190,320,2400,80,4120
Australian Capital Territory,2019,370,590,210,230,2400,100,3900
Australian Capital Territory,2020,330,400,170,180,2770,120,3970
Australian Capital Territory,2021,250,220,10,150,1650,120,2400
Australian Capital Territory,2022,440,500,100,160,1660,100,2960
